;Rsn;Rs;Rsc_long;Rsc_short;Es;alfa_R
A240;240;210;-210;-210;200000;0.425
A400;400;350;-350;-350;200000;0.39
A500;500;435;-435;-400;200000;0.372
B500;500;435;-415;-380;200000;0.376
Bp500;500;415;-390;-360;200000;
A600;600;520;-470;-400;200000;
A800;800;695;-500;-400;200000;
A1000;1000;870;-500;-400;200000;
Bp1200;1200;1050;-500;-400;200000;
Bp1300;1300;1130;-500;-400;200000;
Bp1400;1400;1215;-500;-400;200000;
Bp1500;1500;1300;-500;-400;200000;
Bp1600;1600;1390;-500;-400;200000;
K1400;1400;1215;-500;-400;195000;
K1500;1500;1300;-500;-400;195000;
K1600;1600;1390;-500;-400;195000;
K1650;1650;1435;-500;-400;195000;
K1700;1700;1475;-500;-400;195000;
